Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,La Crescenta,Los Angeles_CA,CA,57.9,90,2.5,9.2,0,Overcast,FALSE,FALSE,FALSE,day
2,Elmhurst,DuPage_IL,IL,88,55,10,15,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Plymouth Meeting,Montgomery_PA,PA,84.2,51,10,10.4,0,Clear,FALSE,FALSE,TRUE,day
2,Scappoose,Columbia_OR,OR,75,38,10,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Sacramento,Sacramento_CA,CA,83,36,10,8,0,Partly Cloudy,TRUE,FALSE,FALSE,day
3,West Sacramento,Yolo_CA,CA,95,20,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Oakland,Alameda_CA,CA,60.1,100,1.5,16.1,0.29,Heavy Rain,FALSE,FALSE,TRUE,day
4,Ypsilanti,Washtenaw_MI,MI,64,84,4,8,0,Haze,FALSE,FALSE,FALSE,day
3,Atlanta,Cobb_GA,GA,50,100,1,2.3,0,Light Drizzle,FALSE,FALSE,FALSE,day
4,Ohio City,Van Wert_OH,OH,48,63,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Clifton Park,Saratoga_NY,NY,39.2,75,15,16.1,0,Overcast,FALSE,FALSE,TRUE,day
3,Georgetown,Floyd_IN,IN,48.9,38,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Columbus,Franklin_OH,OH,32,87,10,12,0,Cloudy,FALSE,FALSE,FALSE,day
2,Omaha,Douglas_NE,NE,57,74,10,8.1,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Baton Rouge,East Baton Rouge_LA,LA,62,96,10,10,0,Cloudy,FALSE,FALSE,FALSE,day
3,Oklahoma City,Oklahoma_OK,OK,60.8,100,2,20.7,0.27,Heavy Thunderstorms and Rain,FALSE,FALSE,FALSE,night
2,Lexington,Lexington_SC,SC,59,96,10,6.9,0.02,Overcast,FALSE,FALSE,FALSE,day
2,Boron,San Bernardino_CA,CA,23,82,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Atlanta,Fulton_GA,GA,71.6,88,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Arlington,Arlington_VA,VA,39.9,70,10,3.5,0,Overcast,FALSE,FALSE,FALSE,twilight
2,San Antonio,Bexar_TX,TX,75,44,10,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
2,Burleson,Tarrant_TX,TX,59,73,10,3.5,0,Clear,TRUE,FALSE,FALSE,night
3,Fort Worth,Tarrant_TX,TX,61,39,10,12,0,Fair,FALSE,FALSE,FALSE,twilight
